"","year","ccode","worldbank","country","iso2c","un","scode","wbregion","iso3c","polity","polity2","democ","autoc","unreg","physint","speech","new_empinx","wecon","wopol","wosoc","elecsd","gdp.pc.wdi","gdp.pc.un","pop.wdi","amnesty","statedept","milper","cinc","bdeadbest","INGO_uia","domestic9","rt_code","nyt","amnesty.uas","region","muslim","nyt.lagged"
"2",1980,20,"CAN","Canada","CA",124,"CAN","Northern America","CAN",10,10,10,0,NA,NA,NA,NA,NA,NA,NA,NA,11118.4825114339,11152.452140684,24593000,NA,1,82,0.0122626,0,980,0,"CAN",0,NA,"West",0.899999976158142,NA
"3",1980,40,"CUB","Cuba","CU",192,"CUB","Caribbean","CUB",-7,-7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,2024.67897413529,2024.67897413529,9835085,3,3,220,0.0028742,0,254,0,"CUB",0,NA,"LA",0,NA
"4",1980,41,"HTI","Haiti","HT",332,"HAI","Caribbean","HTI",-9,-9,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,243.115661296693,5691941,4,3,7,0.0003565,0,133,750,"HTI",1,NA,"LA",0,NA
"5",1980,42,"DOM","Dominican Rep","DO",214,"DOM","Caribbean","DOM",6,6,6,0,NA,NA,NA,NA,NA,NA,NA,NA,1138.22940188458,1403.82309693802,5825715,3,2,24,0.0008057,0,NA,0,"DOM",0,NA,"LA",0,NA
"6",1980,51,"JAM","Jamaica","JM",388,"JAM","Caribbean","JAM",10,10,10,0,NA,NA,NA,NA,NA,NA,NA,NA,1256.15536841828,1428.28141457327,2133000,NA,1,2,0.0001431,0,240,1250,"JAM",0,NA,"LA",0,NA
"7",1980,52,"TTO","Trinidad and Tobago","TT",780,"TRI","Caribbean","TTO",8,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,5745.71895923425,5745.68079838313,1085308,NA,1,1,0.0004066,0,NA,250,"TTO",0,NA,"LA",6,NA
"8",1980,70,"MEX","Mexico","MX",484,"MEX","Central America","MEX",-3,-3,1,4,NA,NA,NA,NA,NA,NA,NA,NA,2762.59420060941,3689.42206418056,70353013,3,3,120,0.0123257,0,670,0,"MEX",0,NA,"LA",0,NA
"9",1980,90,"GTM","Guatemala","GT",320,"GUA","Central America","GTM",-5,-5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,1125.35157427382,1003.31378522097,7001101,5,4,21,0.0006166,3000,259,10625,"GTM",1,NA,"LA",0,NA
"10",1980,91,"HND","Honduras","HN",340,"HON","Central America","HND",NA,1,-88,-88,NA,NA,NA,NA,NA,NA,NA,NA,705.747366649229,841.947939305727,3635862,4,2,14,0.000394,0,150,0,"HND",0,NA,"LA",0,NA
"11",1980,92,"SLV","El Salvador","SV",222,"SAL","Central America","SLV",NA,-2,-88,-88,NA,NA,NA,NA,NA,NA,NA,NA,766.852685559405,251.747716152322,4660556,5,4,16,0.0004845,399,210,14187,"SLV",5,NA,"LA",0,NA
"12",1980,93,"NIC","Nicaragua","NI",558,"NIC","Central America","NIC",NA,0,-77,-77,NA,NA,NA,NA,NA,NA,NA,NA,659.689216079944,831.068291502044,3250470,NA,4,24,0.0004131,0,187,250,"NIC",0,NA,"LA",0,NA
"13",1980,94,"CRI","Costa Rica","CR",188,"COS","Central America","CRI",10,10,10,0,NA,NA,NA,NA,NA,NA,NA,NA,2057.31205322269,2614.01819928522,2348427,NA,1,6,0.0002033,0,266,0,"CRI",0,NA,"LA",0,NA
"14",1980,95,"PAN","Panama","PA",591,"PAN","Central America","PAN",-6,-6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,1914.66396524329,2037.14839741377,1990062,NA,2,8,0.0002789,0,276,250,"PAN",0,NA,"LA",0,NA
"15",1980,100,"COL","Colombia","CO",170,"COL","South America","COL",8,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,1240.06754344404,1752.54233764551,26934591,4,3,60,0.0036558,200,497,1875,"COL",1,NA,"LA",0,NA
"16",1980,101,"VEN","Venezuela","VE",862,"VEN","South America","VEN",9,9,9,0,NA,NA,NA,NA,NA,NA,NA,NA,4447.08543474901,4580.37779128639,15096432,3,2,55,0.0043545,0,NA,0,"VEN",0,NA,"LA",0,NA
"17",1980,110,"GUY","Guyana","GY",328,"GUY","South America","GUY",-7,-7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,776.392119208111,1213.99671457925,776927,NA,3,7,8.1e-05,0,127,1062,"GUY",0,NA,"LA",9,NA
"18",1980,115,"SUR","Suriname","SR",740,"SUR","South America","SUR",-1,-1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2174.13898735285,2978.83211750413,365616,NA,2,1,5.54e-05,0,80,1875,"SUR",0,NA,"LA",NA,NA
"19",1980,130,"ECU","Ecuador","EC",218,"ECU","South America","ECU",9,9,9,0,NA,NA,NA,NA,NA,NA,NA,NA,2260.78366725681,1756.73782883524,7909432,NA,2,35,0.0011131,0,314,0,"ECU",0,NA,"LA",0,NA
"20",1980,135,"PER","Peru","PE",604,"PER","South America","PER",7,7,7,0,NA,NA,NA,NA,NA,NA,NA,NA,1018.87459610573,966.005521941635,17328542,3,2,151,0.0034047,0,472,0,"PER",0,NA,"LA",0,NA
"21",1980,140,"BRA","Brazil","BR",76,"BRA","South America","BRA",-4,-4,2,6,NA,NA,NA,NA,NA,NA,NA,NA,1930.53847057884,1569.93689094146,121740438,3,2,450,0.0229257,0,764,0,"BRA",0,NA,"LA",0,NA
"22",1980,145,"BOL","Bolivia","BO",68,"BOL","South America","BOL",-7,-7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,845.142766196935,652.1940922008,5368901,3,4,24,0.0007644,0,280,2937,"BOL",1,NA,"LA",0,NA
"23",1980,150,"PRY","Paraguay","PY",600,"PAR","South America","PRY",-8,-8,0,8,NA,NA,NA,NA,NA,NA,NA,NA,1280.08910962867,1228.87754076587,3198848,4,3,15,0.0003342,0,232,0,"PRY",1,NA,"LA",0,NA
"24",1980,155,"CHL","Chile","CL",152,"CHL","South America","CHL",-7,-7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,2463.48835068653,2710.45221602796,11192384,4,4,116,0.002998,0,520,625,"CHL",1,NA,"LA",0,NA
"25",1980,160,"ARG","Argentina","AR",32,"ARG","South America","ARG",-9,-9,0,9,NA,NA,NA,NA,NA,NA,NA,NA,2736.89737769562,2685.43963206078,28120135,5,4,155,0.006522,0,745,0,"ARG",5,NA,"LA",0,NA
"26",1980,165,"URY","Uruguay","UY",858,"URU","South America","URY",-7,-7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,3485.57743270028,3649.91845447008,2915735,4,3,28,0.0006254,0,430,0,"URY",2,NA,"LA",0,NA
"27",1980,200,"GBR","United Kingdom","GB",826,"UKG","Northern Europe","GBR",10,10,10,0,NA,NA,NA,NA,NA,NA,NA,NA,10070.2851869357,9625.0249052961,56314216,1,1,330,0.02491,80,1380,1562,"GBR",2,NA,"West",1.60000002384186,NA
"28",1980,205,"IRL","Ireland","IE",372,"IRE","Northern Europe","IRL",10,10,10,0,NA,NA,NA,NA,NA,NA,NA,NA,6366.07472704266,6281.74416223538,3412800,1,1,19,0.0005667,0,630,0,"IRL",2,NA,"West",0.109999999403954,NA
"29",1980,210,"NLD","Netherlands","NL",528,"NTH","Western Europe","NLD",10,10,10,0,NA,NA,NA,NA,NA,NA,NA,NA,13562.5607861167,12832.8650100561,14149800,NA,1,107,0.006457,0,1318,125,"NLD",0,NA,"West",3,NA
"30",1980,211,"BEL","Belgium","BE",56,"BEL","Western Europe","BEL",10,10,10,0,NA,NA,NA,NA,NA,NA,NA,NA,12912.9982899516,12712.2424875814,9859242,NA,1,108,0.0063528,0,1341,500,"BEL",0,NA,"West",2.5,NA
"31",1980,212,"LUX","Luxembourg","LU",442,"LUX","Western Europe","LUX",10,10,10,0,NA,NA,NA,NA,NA,NA,NA,NA,17225.9399834456,16393.597193821,364150,NA,1,1,0.0011274,0,533,0,"LUX",0,NA,"West",NA,NA
"32",1980,220,"FRA","France","FR",250,"FRN","Western Europe","FRA",8,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,12739.33013454,12513.0795810567,55224670,2,1,575,0.0238516,0,1457,0,"FRA",0,NA,"West",1,NA
