"","year","Africa","Asia","EECA","LA","MENA","West"
"1",1980,1,2,7,18,5,7
"2",1981,3,10,14,34,15,8
"3",1982,7,16,8,45,12,3
"4",1983,2,7,15,41,9,15
"5",1984,12,7,7,68,13,0
"6",1985,16,12,15,55,13,9
"7",1986,23,15,12,52,16,4
"8",1987,9,16,22,47,15,19
"9",1988,12,24,15,43,18,14
"10",1989,13,29,14,47,25,4
"11",1990,11,29,10,39,28,3
"12",1991,11,24,8,34,24,6
"13",1992,4,41,36,26,37,15
"14",1993,6,41,44,47,18,12
"15",1994,39,48,25,45,20,12
"16",1995,21,50,34,43,25,12
"17",1996,25,42,45,41,20,9
"18",1997,34,46,19,27,30,13
"19",1998,27,46,33,47,26,18
"20",1999,16,39,102,38,22,17
"21",2000,19,44,57,85,24,20
"22",2001,17,43,75,51,39,24
"23",2002,24,53,47,52,38,21
"24",2003,52,37,25,64,88,29
"25",2004,38,32,27,48,227,24
"26",2005,23,38,35,41,126,25
"27",2006,51,46,72,33,182,27
"28",2007,23,43,28,22,98,18
"29",2008,28,26,23,20,43,18
"30",2009,26,53,31,15,62,13
"31",2010,26,35,16,18,33,14
"32",2011,NA,NA,NA,NA,NA,NA
"33",2012,NA,NA,NA,NA,NA,NA
